repo_id,run_id,attempt_no,command,command_source,working_directory,exit_code,status,failure_category,recoverability,log_path,duration_seconds,timestamp_start,timestamp_end
46489668,20260713_013426,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/46489668,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/46489668_20260713_013426_attempt_1.log,6.77,1783881300.75386,1783881307.5246866
46489668,20260713_013426,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/46489668,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/46489668_20260713_013426_attempt_2.log,6.60,1783881307.5356696,1783881314.1393738
46489668,20260713_013426,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/46489668,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/46489668_20260713_013426_attempt_3.log,6.83,1783881314.1488903,1783881320.975878
771158,20260713_013426,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/771158,1,failed,missing_dependency,needs_manual_review,logs/build/771158_20260713_013426_attempt_1.log,10.78,1783881328.9288042,1783881339.7123346
771158,20260713_013426,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/771158,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/771158_20260713_013426_attempt_2.log,3.96,1783881339.7164462,1783881343.6796527
771158,20260713_013426,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/771158,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/771158_20260713_013426_attempt_3.log,3.86,1783881343.68399,1783881347.540374
771158,20260713_013426,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/771158,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/771158_20260713_013426_attempt_4.log,3.71,1783881347.5522125,1783881351.2617645
42032884,20260713_013426,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42032884,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/42032884_20260713_013426_attempt_1.log,3.78,1783881438.8829494,1783881442.6614103
42032884,20260713_013426,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42032884,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/42032884_20260713_013426_attempt_2.log,3.52,1783881442.6640632,1783881446.1807704
42032884,20260713_013426,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/42032884,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/42032884_20260713_013426_attempt_3.log,3.73,1783881446.183166,1783881449.9118195
